,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Tiri,Dist.,Pun.,Rigori,Rig T,Stagione,Squadra
0,19-08-2023,20:45,Serie A,Giornata n. 1,Sab,Casa,V,2,0,Monza,2.7,0.8,47.0,72.509,Lautaro Martínez,3-5-2,Andrea Colombo,Report partita,,22.0,172.0,1.0,0,0,2024,Internazionale
1,28-08-2023,20:45,Serie A,Giornata n. 2,Lun,Ospiti,V,2,0,Cagliari,0.9,0.6,67.0,16.412,Lautaro Martínez,3-5-2,Michael Fabbri,Report partita,,17.0,159.0,0.0,0,0,2024,Internazionale
2,03-09-2023,18:30,Serie A,Giornata n. 3,Dom,Casa,V,4,0,Fiorentina,3.7,0.4,40.0,72.739,Lautaro Martínez,3-5-2,Matteo Marchetti,Report partita,,20.0,145.0,1.0,1,1,2024,Internazionale
3,16-09-2023,18:00,Serie A,Giornata n. 4,Sab,Casa,V,5,1,Milan,2.6,1.1,41.0,75.571,Lautaro Martínez,3-5-2,Simone Sozza,Report partita,,13.0,152.0,1.0,1,1,2024,Internazionale
5,24-09-2023,12:30,Serie A,Giornata n. 5,Dom,Ospiti,V,1,0,Empoli,1.6,0.3,61.0,15.651,Lautaro Martínez,3-5-2,Matteo Marcenaro,Report partita,,23.0,168.0,0.0,0,0,2024,Internazionale
6,27-09-2023,20:45,Serie A,Giornata n. 6,Mer,Casa,P,1,2,Sassuolo,0.9,1.0,63.0,70.864,Lautaro Martínez,3-5-2,Luca Massimi,Report partita,,13.0,152.0,0.0,0,0,2024,Internazionale
7,30-09-2023,20:45,Serie A,Giornata n. 7,Sab,Ospiti,V,4,0,Salernitana,2.3,0.6,64.0,28.085,Nicolò Barella,3-5-2,Rosario Abisso,Report partita,,15.0,168.0,1.0,1,1,2024,Internazionale
9,07-10-2023,15:00,Serie A,Giornata n. 8,Sab,Casa,N,2,2,Bologna,0.7,1.3,63.0,74.072,Lautaro Martínez,3-5-2,Marco Guida,Report partita,,14.0,183.0,1.0,0,0,2024,Internazionale
10,21-10-2023,18:00,Serie A,Giornata n. 9,Sab,Ospiti,V,3,0,Torino,2.5,0.4,53.0,26.193,Lautaro Martínez,3-5-2,Matteo Marchetti,Report partita,,13.0,171.0,1.0,1,1,2024,Internazionale
12,29-10-2023,18:00,Serie A,Giornata n. 10,Dom,Casa,V,1,0,Roma,2.2,0.1,63.0,75.573,Lautaro Martínez,3-5-2,Fabio Maresca,Report partita,,19.0,160.0,0.0,0,0,2024,Internazionale
13,04-11-2023,18:00,Serie A,Giornata n. 11,Sab,Ospiti,V,2,1,Atalanta,1.3,1.0,46.0,14.945,Lautaro Martínez,3-5-2,Simone Sozza,Report partita,,9.0,230.0,1.0,1,1,2024,Internazionale
15,12-11-2023,20:45,Serie A,Giornata n. 12,Dom,Casa,V,2,0,Frosinone,3.1,0.7,47.0,70.816,Lautaro Martínez,3-5-2,Federico Dionisi,Report partita,,20.0,196.0,1.0,1,1,2024,Internazionale
16,26-11-2023,20:45,Serie A,Giornata n. 13,Dom,Ospiti,N,1,1,Juventus,0.9,0.4,65.0,41.507,Lautaro Martínez,3-5-2,Marco Guida,Report partita,,8.0,164.0,0.0,0,0,2024,Internazionale
18,03-12-2023,20:45,Serie A,Giornata n. 14,Dom,Ospiti,V,3,0,Napoli,2.7,0.6,43.0,55.0,Lautaro Martínez,3-5-2,Davide Massa,Report partita,,11.0,160.0,0.0,0,0,2024,Internazionale
19,09-12-2023,20:45,Serie A,Giornata n. 15,Sab,Casa,V,4,0,Udinese,3.5,0.8,74.0,71.874,Lautaro Martínez,3-5-2,Marco Di Bello,Report partita,,16.0,167.0,0.0,1,1,2024,Internazionale
21,17-12-2023,20:45,Serie A,Giornata n. 16,Dom,Ospiti,V,2,0,Lazio,1.6,1.5,52.0,59.0,Lautaro Martínez,3-5-2,Fabio Maresca,Report partita,,12.0,138.0,1.0,0,0,2024,Internazionale
23,23-12-2023,18:00,Serie A,Giornata n. 17,Sab,Casa,V,2,0,Lecce,2.9,1.3,68.0,72.723,Nicolò Barella,3-5-2,Matteo Marcenaro,Report partita,,20.0,151.0,1.0,0,0,2024,Internazionale
24,29-12-2023,20:45,Serie A,Giornata n. 18,Ven,Ospiti,N,1,1,Genoa,1.8,0.5,52.0,33.249,Nicolò Barella,3-5-2,Daniele Doveri,Report partita,,16.0,144.0,0.0,0,0,2024,Internazionale
25,06-01-2024,12:30,Serie A,Giornata n. 19,Sab,Casa,V,2,1,Hellas Verona,1.9,1.3,61.0,71.691,Lautaro Martínez,3-5-2,Michael Fabbri,Report partita,,15.0,152.0,0.0,0,0,2024,Internazionale
26,13-01-2024,20:45,Serie A,Giornata n. 20,Sab,Ospiti,V,5,1,Monza,4.3,1.0,43.0,14.67,Lautaro Martínez,3-5-2,Antonio Rapuano,Report partita,,18.0,197.0,1.0,2,2,2024,Internazionale
29,28-01-2024,20:45,Serie A,Giornata n. 22,Dom,Ospiti,V,1,0,Fiorentina,0.5,1.8,43.0,,Lautaro Martínez,3-5-2,Gianluca Aureliano,Report partita,,8.0,171.0,0.0,0,0,2024,Internazionale
30,04-02-2024,20:45,Serie A,Giornata n. 23,Dom,Casa,V,1,0,Juventus,1.7,0.6,54.0,,Lautaro Martínez,3-5-2,Fabio Maresca,Report partita,,15.0,154.0,0.0,0,0,2024,Internazionale
31,10-02-2024,18:00,Serie A,Giornata n. 24,Sab,Ospiti,V,4,2,Roma,0.9,0.7,53.0,,Lautaro Martínez,5-3-2,Marco Guida,Report partita,,10.0,212.0,1.0,0,0,2024,Internazionale
32,16-02-2024,21:00,Serie A,Giornata n. 25,Ven,Casa,V,4,0,Salernitana,3.9,0.0,75.0,,Lautaro Martínez,3-5-2,Marco Piccinini,Report partita,,26.0,140.0,1.0,0,0,2024,Internazionale
34,25-02-2024,18:00,Serie A,Giornata n. 26,Dom,Ospiti,V,4,0,Lecce,2.9,1.0,61.0,,Lautaro Martínez,3-5-2,Daniele Doveri,Report partita,,11.0,156.0,0.0,0,0,2024,Internazionale
35,28-02-2024,20:45,Serie A,Giornata n. 21,Mer,Casa,V,4,0,Atalanta,2.0,0.3,59.0,,Lautaro Martínez,3-5-2,Andrea Colombo,Report partita,,14.0,178.0,0.0,0,1,2024,Internazionale
36,04-03-2024,20:45,Serie A,Giornata n. 27,Lun,Casa,V,2,1,Genoa,1.8,0.8,62.0,,Lautaro Martínez,3-5-2,Giovanni Ayroldi,Report partita,,14.0,179.0,0.0,1,1,2024,Internazionale
37,09-03-2024,18:00,Serie A,Giornata n. 28,Sab,Ospiti,V,1,0,Bologna,0.9,0.6,40.0,,Nicolò Barella,3-5-2,Luca Pairetto,Report partita,,5.0,126.0,0.0,0,0,2024,Internazionale
39,17-03-2024,20:45,Serie A,Giornata n. 29,Dom,Casa,N,1,1,Napoli,1.6,1.4,49.0,,Lautaro Martínez,3-5-2,Federico La Penna,Report partita,,19.0,155.0,1.0,0,0,2024,Internazionale
40,01-04-2024,20:45,Serie A,Giornata n. 30,Lun,Casa,V,2,0,Empoli,2.1,0.5,59.0,,Lautaro Martínez,3-5-2,Federico Dionisi,Report partita,,19.0,179.0,0.0,0,0,2024,Internazionale
0,21-08-2023,20:45,Serie A,Giornata n. 1,Lun,Ospiti,V,2.0,0.0,Bologna,0.9,1.0,47.0,30.203,Davide Calabria,4-3-3,Luca Pairetto,Report partita,,9.0,157.0,0.0,0,0,2024,Milan
1,26-08-2023,20:45,Serie A,Giornata n. 2,Sab,Casa,V,4.0,1.0,Torino,3.0,0.5,59.0,72.013,Davide Calabria,4-3-3,Maurizio Mariani,Report partita,,15.0,207.0,0.0,2,2,2024,Milan
2,01-09-2023,20:45,Serie A,Giornata n. 3,Ven,Ospiti,V,2.0,1.0,Roma,1.5,0.7,56.0,61.69,Davide Calabria,4-2-3-1,Antonio Rapuano,Report partita,,8.0,142.0,0.0,1,1,2024,Milan
3,16-09-2023,18:00,Serie A,Giornata n. 4,Sab,Ospiti,P,1.0,5.0,Inter,1.1,2.6,59.0,75.571,Davide Calabria,4-3-3,Simone Sozza,Report partita,,9.0,186.0,1.0,0,0,2024,Milan
5,23-09-2023,15:00,Serie A,Giornata n. 5,Sab,Casa,V,1.0,0.0,Hellas Verona,0.9,0.6,54.0,71.07,Rafael Leão,4-2-3-1,Fabio Maresca,Report partita,,9.0,137.0,0.0,0,0,2024,Milan
6,27-09-2023,18:30,Serie A,Giornata n. 6,Mer,Ospiti,V,3.0,1.0,Cagliari,2.1,0.9,66.0,16.348,Theo Hernández,4-3-3,Federico La Penna,Report partita,,17.0,178.0,0.0,0,0,2024,Milan
7,30-09-2023,18:00,Serie A,Giornata n. 7,Sab,Casa,V,2.0,0.0,Lazio,2.2,0.5,51.0,72.035,Davide Calabria,4-3-3,Davide Massa,Report partita,,14.0,150.0,0.0,0,0,2024,Milan
9,07-10-2023,20:45,Serie A,Giornata n. 8,Sab,Ospiti,V,1.0,0.0,Genoa,0.6,0.5,59.0,33.157,Theo Hernández,4-3-3,Marco Piccinini,Report partita,,12.0,196.0,0.0,0,0,2024,Milan
10,22-10-2023,20:45,Serie A,Giornata n. 9,Dom,Casa,P,0.0,1.0,Juventus,0.3,1.4,52.0,75.676,Davide Calabria,4-2-3-1,Maurizio Mariani,Report partita,,7.0,179.0,0.0,0,0,2024,Milan
